epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,93.7752,2.60706,5.52352,3.86037,2.36746,0,0.00354,0.52693,0.01305,0.0045,0.00168,0.33852,0.00846,0.00275,2.47878,4.74075,3.51289,2.12029,0,0.00140436,0.000468121,0.00140436,0.000468121,0.00140436,0.000468121,0.00140436,0.000468121
2,180.407,2.1721,4.33411,3.6258,1.9868,0,0.00483,0.62628,0.05707,0.02917,0.00338,0.44498,0.03919,0.01538,1.83998,3.73289,3.33414,1.69842,0,0.00280531,0.000935104,0.00280531,0.000935104,0.00280531,0.000935104,0.00280531,0.000935104
3,265.18,1.96452,3.71211,3.09428,1.74303,0,0.26468,0.21455,0.21949,0.11622,0.22872,0.16994,0.15599,0.07248,1.91245,3.44537,2.49147,1.68895,0,0.00417797,0.00139266,0.00417797,0.00139266,0.00417797,0.00139266,0.00417797,0.00139266
4,349.339,1.93974,3.53532,2.62439,1.68454,0,0.59624,0.31614,0.25916,0.12808,0.57057,0.27859,0.20328,0.08941,1.8986,3.21206,2.23741,1.66901,0,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656
5,432.869,1.84623,3.32401,2.38783,1.6312,0,0.34901,0.28831,0.29608,0.15867,0.32504,0.25023,0.24279,0.11418,1.83855,3.16902,2.16754,1.63498,0,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,517.622,1.82206,3.28648,2.31378,1.61571,0,0.3839,0.36344,0.32391,0.17547,0.34761,0.28369,0.2539,0.1217,1.79434,3.07831,2.15109,1.59624,0,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,601.638,1.73699,3.17826,2.17858,1.57134,0,0.37663,0.39753,0.35868,0.1893,0.42202,0.27076,0.28405,0.13338,1.74095,2.99858,2.06433,1.55766,0,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,685.858,1.73528,3.12566,2.15555,1.56892,0,0.42582,0.43821,0.40067,0.20106,0.39336,0.35443,0.30207,0.13316,1.74174,3.05661,2.05254,1.57058,0,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,769.121,1.69839,3.06552,2.06453,1.54132,0,0.49721,0.4844,0.43275,0.21185,0.36632,0.40335,0.32419,0.14125,1.74027,2.99355,1.9773,1.58532,0,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,853.31,1.67304,3.02771,2.03766,1.53892,0,0.46785,0.48283,0.45557,0.23084,0.44547,0.38186,0.36859,0.15628,1.71757,2.90693,1.95208,1.53793,0,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
